Datum;Tijd;Maanfase;Hoogwater/laagwater;Meting
27/09/2020; 01:25; ; HW; 84.0 cm;
26/09/2020; 20:10; ; LW; 19.0 cm;
26/09/2020; 13:08; ; HW; 74.0 cm;
26/09/2020; 08:23; ; LW; 22.0 cm;
26/09/2020; 00:15; ; HW; 86.0 cm;
25/09/2020; 18:53; ; LW; 20.0 cm;
25/09/2020; 11:34; ; HW; 80.0 cm;
25/09/2020; 07:49; ; LW; 20.0 cm;
24/09/2020; 22:50; Eerste Kwartier 04:55; HW; 90.0 cm;
24/09/2020; 18:13; ; LW; 21.0 cm;
24/09/2020; 10:16; ; HW; 87.0 cm;
24/09/2020; 07:16; ; LW; 17.0 cm;
23/09/2020; 21:39; ; HW; 96.0 cm;
23/09/2020; 17:47; ; LW; 23.0 cm;
23/09/2020; 09:14; ; HW; 95.0 cm;
23/09/2020; 06:36; ; LW; 14.0 cm;
22/09/2020; 20:45; ; HW; 100.0 cm;
22/09/2020; 17:04; ; LW; 25.0 cm;
22/09/2020; 08:25; ; HW; 101.0 cm;
22/09/2020; 05:56; ; LW; 11.0 cm;
21/09/2020; 19:55; ; HW; 102.0 cm;
21/09/2020; 17:41; ; LW; 23.0 cm;
21/09/2020; 07:35; ; HW; 106.0 cm;
21/09/2020; 05:17; ; LW; 10.0 cm;
20/09/2020; 19:15; ; HW; 103.0 cm;
20/09/2020; 17:06; ; LW; 22.0 cm;
20/09/2020; 06:53; ; HW; 109.0 cm;
20/09/2020; 04:36; ; LW; 11.0 cm;
19/09/2020; 18:31; ; HW; 103.0 cm;
19/09/2020; 16:26; ; LW; 21.0 cm;
19/09/2020; 06:08; ; HW; 110.0 cm;
19/09/2020; 03:46; ; LW; 14.0 cm;
18/09/2020; 17:54; ; HW; 101.0 cm;
18/09/2020; 15:36; ; LW; 21.0 cm;
18/09/2020; 05:35; ; HW; 108.0 cm;
18/09/2020; 02:50; ; LW; 17.0 cm;
17/09/2020; 17:19; Nieuwe Maan 14:00; HW; 98.0 cm;
17/09/2020; 14:46; ; LW; 21.0 cm;
17/09/2020; 04:54; ; HW; 105.0 cm;
17/09/2020; 01:17; ; LW; 16.0 cm;
16/09/2020; 16:34; ; HW; 93.0 cm;
16/09/2020; 13:28; ; LW; 20.0 cm;
16/09/2020; 04:14; ; HW; 99.0 cm;
16/09/2020; 00:22; ; LW; 15.0 cm;
15/09/2020; 16:00; ; HW; 88.0 cm;
15/09/2020; 12:19; ; LW; 19.0 cm;
15/09/2020; 03:38; ; HW; 92.0 cm;
